BUS_I,BUS_TYPE,PD,QD,GS,BS,BUS_AREA,VM,VA,BASE_KV,ZONE,VMAX,VMIN,LAM_P,LAM_Q,MU_VMAX,MU_VMIN
1,1,97.6,44.2,0,0,2,1.04116895,-13.3766791,345,1,1.06,0.94,14.0296966,-0.0127847288,0,0
2,1,0,0,0,0,2,1.05440981,-5.43405171,345,1,1.06,0.94,13.7187846,-0.0577296452,0,0
3,1,322,2.4,0,0,2,1.04552465,-8.97742129,345,1,1.06,0.94,13.8347398,-0.0155264472,0,0
4,1,500,184,0,0,1,1.03534689,-10.3931659,345,1,1.06,0.94,13.8762986,0.0318997117,0,0
5,1,0,0,0,0,1,1.04390612,-9.69307544,345,1,1.06,0.94,13.8573925,0.0304600157,0,0
6,1,0,0,0,0,1,1.04794727,-9.00577534,345,1,1.06,0.94,13.8313413,0.025467139,0,0
7,1,233.8,84,0,0,1,1.03568591,-11.4218075,345,1,1.06,0.94,13.9144336,0.0441131558,0,0
8,1,522,176.6,0,0,1,1.03378218,-12.0812176,345,1,1.06,0.94,13.9448219,0.0458771067,0,0
9,1,6.5,-66.6,0,0,1,1.05650802,-15.0794949,345,1,1.06,0.94,14.0473883,-0.00889318491,0,0
10,1,0,0,0,0,1,1.05979955,-6.56975607,345,1,1.06,0.94,13.7244499,0.00494093715,2.94813135,0
11,1,0,0,0,0,1,1.05453319,-7.39578023,345,1,1.06,0.94,13.7625874,0.0154629978,0,0
12,1,8.53,88,0,0,1,1.04206332,-7.34870026,345,1,1.06,0.94,13.7594949,0.0337566378,0,0
13,1,0,0,0,0,1,1.05425512,-7.18080128,345,1,1.06,0.94,13.7527753,0.0141857935,0,0
14,1,0,0,0,0,1,1.0448191,-8.60610855,345,1,1.06,0.94,13.8152391,0.0256200263,0,0
15,1,320,153,0,0,3,1.03586919,-8.70350596,345,1,1.06,0.94,13.8101205,0.0407840553,0,0
16,1,329,32.3,0,0,3,1.04638348,-7.21186625,345,1,1.06,0.94,13.7331722,0.0171081341,0,0
17,1,0,0,0,0,2,1.04740976,-8.32267995,345,1,1.06,0.94,13.7693398,-0.0056834412,0,0
18,1,158,30,0,0,2,1.04545377,-8.98925717,345,1,1.06,0.94,13.8114144,-0.00796625358,0,0
19,1,0,0,0,0,3,1.05999989,-2.47363427,345,1,1.06,0.94,13.5448248,0.0102926168,149.260569,0
20,1,680,103,0,0,3,0.996816215,-3.85253327,345,1,1.06,0.94,13.5793567,0.0225660459,0,0
21,1,274,115,0,0,3,1.04406715,-4.72966078,345,1,1.06,0.94,13.658853,0.0287787529,0,0
22,1,0,0,0,0,3,1.05962783,-0.233813383,345,1,1.06,0.94,13.5298681,0.00896939198,0.161857737,0
23,1,247.5,84.6,0,0,3,1.05223989,-0.386652969,345,1,1.06,0.94,13.5333133,0.0202321585,0,0
24,1,308.6,-92.2,0,0,3,1.05080258,-7.05276378,345,1,1.06,0.94,13.7301405,0.0127481363,0,0
25,1,224,47.2,0,0,2,1.05999995,-4.54355188,345,1,1.06,0.94,13.4477989,-0.00908355433,335.156602,0
26,1,139,17,0,0,2,1.05999996,-7.56769718,345,1,1.06,0.94,13.6509227,-0.079152029,481.214709,0
27,1,281,75.5,0,0,2,1.04869569,-9.05102978,345,1,1.06,0.94,13.7530995,-0.036049467,0,0
28,1,206,27.6,0,0,3,1.0553777,-6.19906065,345,1,1.06,0.94,13.5990577,-0.0394283553,0,0
29,1,283.5,26.9,0,0,3,1.05318161,-4.13470876,345,1,1.06,0.94,13.5126609,-0.0196079265,0,0
30,2,0,0,0,0,2,1.04632939,1.05047115,345,1,1.06,0.94,13.7317711,-0.0565272619,0,0
31,3,9.2,4.6,0,0,1,1.03843334,0,345,1,1.06,0.94,13.823617,0.0232695755,0,0
32,2,0,0,0,0,1,1.03972325,0.919841088,345,1,1.06,0.94,13.7231995,0.00456814388,0,0
33,2,0,0,0,0,3,1.00721568,2.80390588,345,1,1.06,0.94,13.4205784,-2.76220043e-08,0,0
34,2,0,0,0,0,3,1.01322101,1.31652041,345,1,1.06,0.94,13.453912,5.86262105e-07,0,0
35,2,0,0,0,0,3,1.05999977,4.7179989,345,1,1.06,0.94,13.5290908,1.97033873e-07,65.0832321,0
36,2,0,0,0,0,3,1.05999982,7.72887116,345,1,1.06,0.94,13.4593011,-2.21024359e-07,89.5949341,0
37,2,0,0,0,0,2,1.03160877,2.49869152,345,1,1.06,0.94,13.3634992,-5.84788714e-06,0,0
38,2,0,0,0,0,3,1.02273754,1.45135676,345,1,1.06,0.94,13.3806963,-1.12023237e-07,0,0
39,2,1104,250,0,0,1,1.03795707,-16.9453403,345,1,1.06,0.94,14.0917804,-1.46251543e-08,0,0
